image_path,label,height,width,channels,aspect_ratio,brightness
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\11e655773616e81becaf72fba5ccf891.jpg,straight,591,473,3,0.8003384094754653,114.27634746711597
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images17.jpg,straight,177,284,3,1.6045197740112995,200.34873080289648
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images17 (2).jpg,straight,279,181,3,0.6487455197132617,145.68106299134635
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images16.jpg,straight,202,249,3,1.2326732673267327,157.7055747743449
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images159.jpg,straight,172,151,3,0.877906976744186,148.7985522870784
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images153.jpg,straight,255,198,3,0.7764705882352941,99.38894830659537
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images151.jpg,straight,259,194,3,0.749034749034749,116.0709907256299
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images150.jpg,straight,100,100,3,1.0,69.4246
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images15.jpg,straight,275,183,3,0.6654545454545454,106.86181818181818
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images18(1).jpg,straight,280,180,3,0.6428571428571429,58.124742063492064
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images149.jpg,straight,251,201,3,0.8007968127490039,145.52230877485084
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images143.jpg,straight,279,181,3,0.6487455197132617,117.52218855818927
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images139.jpg,straight,225,225,3,1.0,160.3242864197531
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images136.jpg,straight,251,201,3,0.8007968127490039,148.51241798973263
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images135.jpg,straight,186,270,3,1.4516129032258065,210.76286340103545
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images134.jpg,straight,183,275,3,1.5027322404371584,147.1661599602583
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images13.jpg,straight,225,225,3,1.0,149.9279802469136
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images125.jpg,straight,300,168,3,0.56,108.27962301587301
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images124.jpg,straight,194,259,3,1.3350515463917525,101.35348087409943
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images145.jpg,straight,168,300,3,1.7857142857142858,224.86541666666668
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images19.jpg,straight,274,184,3,0.6715328467153284,115.60030545858457
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images197.jpg,straight,186,270,3,1.4516129032258065,184.76168857029072
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images2(1).jpg,straight,246,205,3,0.8333333333333334,84.04743208407695
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images219.jpg,straight,224,225,3,1.0044642857142858,144.75192460317461
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images218.jpg,straight,224,225,3,1.0044642857142858,102.17934523809524
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images216.jpg,straight,241,209,3,0.8672199170124482,128.91667493895054
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images215.jpg,straight,284,177,3,0.6232394366197183,153.61048778546987
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images214.jpg,straight,168,300,3,1.7857142857142858,92.36236111111111
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images213.jpg,straight,246,205,3,0.8333333333333334,128.3972040452112
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images212.jpg,straight,171,294,3,1.719298245614035,171.94122210287622
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images210.jpg,straight,194,260,3,1.3402061855670102,126.46905233941317
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images209.jpg,straight,225,225,3,1.0,172.94301234567902
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images208.jpg,straight,183,275,3,1.5027322404371584,127.11974167908595
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images207.jpg,straight,251,201,3,0.8007968127490039,90.0819607143565
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images206.jpg,straight,251,201,3,0.8007968127490039,101.20653703593585
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images204.jpg,straight,246,204,3,0.8292682926829268,137.09499043519847
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images202.jpg,straight,195,259,3,1.3282051282051281,170.05702405702405
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images201.jpg,straight,225,225,3,1.0,121.06281481481481
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images200.jpg,straight,262,192,3,0.732824427480916,148.52920244910942
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images20.jpg,straight,244,207,3,0.8483606557377049,157.53211372455849
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images20(1).jpg,straight,231,218,3,0.9437229437229437,144.68715993486634
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images2.jpg,straight,194,259,3,1.3350515463917525,80.20003582374716
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images122.jpg,straight,275,183,3,0.6654545454545454,121.7314654744163
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images22.jpg,straight,304,166,3,0.5460526315789473,127.65866756499683
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images121.jpg,straight,275,183,3,0.6654545454545454,162.90024838549428
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images117.jpg,straight,183,275,3,1.5027322404371584,178.21015399900645
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images (11).jpg,straight,263,192,3,0.7300380228136882,140.02738830798478
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images (10).jpg,straight,225,225,3,1.0,160.3242864197531
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images (1).jpg,straight,193,261,3,1.3523316062176165,102.65157921902606
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\HTB1t8EzNVXXXXXLaFXXq6xXFXXX3.jpg,straight,1000,1000,3,1.0,156.621541
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\hp8302-04.jpg,straight,821,1500,3,1.8270401948842874,184.9998172959805
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\hp1.jpg,straight,1920,1920,3,1.0,120.96518527560764
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\how-to-get-beach-waves-hair-with-a-straightener.jpg,straight,216,172,3,0.7962962962962963,102.81053509905254
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\Highlighted-Straight-Hair-with-Long-Layers.jpg,straight,750,550,3,0.7333333333333333,99.28096242424242
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images (12).jpg,straight,275,183,3,0.6654545454545454,112.25832091405861
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\HIgh-Volume-Brush-up-Hairstyle.jpg,straight,900,675,3,0.75,104.75147654320988
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\half-length-of-young-handsome-asiatic-long-brown-straight-hair-woman-F6H1E5.jpg,straight,957,1300,3,1.3584117032392895,183.21789968652038
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\Hairstyles_Men_Thick_Hair_15.jpg,straight,834,564,3,0.6762589928057554,119.02521387145603
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\hairstyles_for_thick_hair_33.jpg,straight,640,640,3,1.0,91.5669189453125
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\hairstyles-for-men-with-thick-hair-1.jpg,straight,700,700,3,1.0,105.2253
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\hairstyles-for-men-with-straight-hair-4.jpg,straight,1015,800,3,0.7881773399014779,165.81293349753693
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\hairstyle-straight-hair.jpg,straight,1080,720,3,0.6666666666666666,91.13648276748971
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\Haircuts-For-Men-With-Thick-Hair.jpg,straight,500,700,3,1.4,168.00189714285713
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\Haircuts-For-Men-with-Thick-Hair-Slicked-Back.jpg,straight,500,500,3,1.0,161.808276
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\HerStyler-8-Best-Haircuts-for-Thick-Straight-Hair-.jpg,straight,664,1000,3,1.5060240963855422,152.7256204819277
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images (2).jpg,straight,194,259,3,1.3350515463917525,73.57069219440353
C:\Users\nisa2\.cache\kagglehub\datasets\kavyasreeb\hair-type-dataset\versions\1\data\Straight\images (3).jpg,straight,168,300,3,1.7857142857142858,180.74942460317462
